Country,Confirmed Cases,GDP per Capita,Population
US,1942363,67426,329064917
Brazil,691758,17106,211049527
Russia,467073,30820,145872256
United Kingdom,287621,48169,67530172
India,257486,9027,1366417754
Spain,241550,43007,46736776
Italy,234998,41582,60550075
Peru,196515,15399,32510453
France,191102,48640,65129728
Germany,185750,55306,83517045
Iran,171789,17832,82913906
Turkey,170132,29327,83429615
Chile,134150,27150,18952038
Mexico,117103,21363,127575529
Saudi Arabia,101914,56912,34268528
Pakistan,98943,6016,216565318
Canada,97178,52144,37411047
China,84191,20984,1433783686
Qatar,68790,138910,2832067
Bangladesh,65769,5453,163046161
Belgium,59226,50904,11539328
Belarus,48630,21224,9452411
South Africa,48285,13965,58558270
Netherlands,47780,60299,17097130
Sweden,44730,55989,10036379
Ecuador,43120,11866,17373662
United Arab Emirates,38808,70441,9770529
Colombia,38149,16265,50339443
Singapore,37910,105689,5804337
Portugal,34693,34936,10226187
Egypt,34079,14800,100388073
Kuwait,31848,67891,4207083
Indonesia,31186,14841,270625568
Switzerland,30965,67558,8591365
Ukraine,27599,10130,43993638
Poland,26561,35651,37887768
Ireland,25201,86988,4882495
Argentina,22794,19971,44780677
Philippines,21895,10094,108116615
Romania,20479,29555,19364557
Afghanistan,20342,2182,38041754
Dominican Republic,19600,20625,10738958
Israel,17863,40337,8519377
Japan,17039,46827,126860301
Austria,16902,55171,8955102
Oman,16882,48593,4974986
Panama,16425,28456,4246439
Bahrain,14763,51991,1641172
Bolivia,13643,8525,11513100
Armenia,13130,11845,2957731
Kazakhstan,12694,30178,18551427
Nigeria,12486,6172,200963599
Iraq,12366,18755,39309783
Denmark,12148,55675,5771876
Serbia,11823,19767,8772235
South Korea,11814,46452,51225308
Algeria,10154,16091,43053054
Ghana,9638,7343,28833629
Norway,8547,79638,5378857
Malaysia,8322,34567,31949777
Morocco,8224,9667,36471769
Cameroon,7908,4099,25876380
Australia,7265,54799,25203198
Guatemala,7055,9009,17581472
Finland,6981,49548,5532156
Honduras,6327,5600,9746117
Sudan,6081,3986,42813238
Tajikistan,4529,3751,9321018
Uzbekistan,4331,9595,32981716
Senegal,4328,4079,16296364
Djibouti,4207,5855,973560
Guinea,4117,2574,12771246
Luxembourg,4039,112045,615729
Hungary,4008,35941,9684679
Nepal,3448,3550,28608710
Haiti,3334,1916,11263770
Thailand,3112,21361,69037513
Gabon,3101,19839,2172579
North Macedonia,3025,17378,2083459
El Salvador,3015,8593,6453553
Greece,2997,31616,10473455
Kenya,2767,4078,52573973
Bulgaria,2727,26034,7000119
Bosnia and Herzegovina,2606,14894,3301000
Croatia,2247,29207,4130304
Ethiopia,2020,2702,112078730
Kyrgyzstan,2007,4193,6415850
Estonia,1939,37606,1325648
Maldives,1903,24796,530953
Sri Lanka,1835,14509,21323733
Iceland,1807,56974,339031
Lithuania,1714,38751,2759627
Central African Republic,1634,864,4745185
Mali,1533,2569,19658031
Slovakia,1528,38321,5457013
New Zealand,1504,42045,4783063
Slovenia,1485,40344,2078654
Guinea-Bissau,1368,2113,1920922
Lebanon,1331,15599,6855713
Costa Rica,1318,18651,5047561
South Sudan,1317,1715,11062113
Equatorial Guinea,1306,19961,1355986
Albania,1246,14866,2880917
Paraguay,1135,13213,7044636
Nicaragua,1118,5297,6545502
Zambia,1089,4174,17861030
Latvia,1088,32987,1906743
Tunisia,1087,13093,11694719
Madagascar,1052,1776,26969307
Mauritania,1049,5158,4525696
Niger,973,1152,23310715
Sierra Leone,969,1765,7813215
Burkina Faso,889,2181,20321378
Uruguay,845,24516,3461734
Chad,837,2603,15946876
Jordan,808,9939,10101694
San Marino,680,62913,33860
Malta,629,49589,440372
Uganda,616,2753,44269594
Jamaica,598,9932,2948279
Togo,495,1913,8082366
Yemen,484,2312,29161922
Taiwan*,443,57214,23773876
Rwanda,439,2642,12626950
Malawi,438,1292,18628747
Mozambique,424,1372,30366036
Liberia,359,1428,4937374
Eswatini,333,11139,1148130
Vietnam,331,8677,96462106
Montenegro,324,21977,627987
Zimbabwe,282,2778,14645468
Benin,261,3648,11801151
Libya,256,9446,6777452
Mongolia,193,15089,3225167
Guyana,154,17163,782766
Brunei,141,85011,433285
Comoros,141,2898,850886
Cambodia,126,5004,16486542
Suriname,122,16044,581372
Trinidad and Tobago,117,33713,1394973
Barbados,92,19364,287025
Angola,91,6763,31825295
Burundi,83,724,10864245
Bhutan,59,10627,763092
Botswana,40,19388,2303697
Eritrea,39,1103,3497117
Namibia,29,11451,2494530
Saint Vincent and the Grenadines,27,12983,110589
Antigua and Barbuda,26,30593,97118
Grenada,23,17434,112003
Saint Lucia,19,15159,182790
Belize,19,8791,390353
Laos,19,8684,7169455
Dominica,18,12851,71808
Fiji,18,12689,889953
Saint Kitts and Nevis,15,31950,52823
Seychelles,11,33118,97739
Papua New Guinea,8,4081,8776109
Lesotho,4,3655,2125268
